time	X
0	10.1042
1	9.9471
2	9.8575
3	9.7933
4	9.901
5	9.8708
6	10.0065
7	10.073
8	10.0736
9	10.0012
10	9.8445
11	9.9616
12	9.8362
13	9.917
14	9.7611
15	9.8496
16	9.8207
17	9.8526
18	9.8165
19	9.9578
20	9.873
21	9.8231
22	10.0017
23	9.9453
24	9.9943
25	9.9326
26	9.9916
27	9.9129
28	10.0215
29	9.9843
30	9.8623
31	9.9958
32	9.981
33	10.0306
34	9.948
35	10.1141
36	10.1888
37	10.0276
38	9.9706
39	9.9055
40	9.9084
41	9.8886
42	9.9826
43	10.1026
44	9.9827
45	10.0072
46	10.0827
47	10.0345
48	10.0115
49	9.9383
50	9.9753
51	9.9628
52	9.8749
53	9.9009
54	9.8383
55	9.8785
56	9.9911
57	9.8809
58	10.021
59	9.9887
60	9.9809
61	10.1565
62	10.1395
63	9.9976
64	9.9837
65	9.9184
66	9.9505
67	9.922
68	10.057
69	9.9691
70	9.9985
71	9.8568
72	9.9699
73	9.992
74	10.0187
75	10.1013
76	10.1969
77	10.1292
78	10.0124
79	10.0701
80	10.1761
81	10.1652
82	10.0306
83	10.0846
84	10.0758
85	10.1659
86	10.0723
87	9.8804
88	10.0119
89	10.0898
90	10.0893
91	9.9571
92	10.0005
93	10.0078
94	9.9847
95	9.9019
96	9.9272
97	9.936
98	9.9445
99	9.9374
100	9.8982
101	10.0515
102	9.9522
103	10.0014
104	9.9955
105	9.9985
106	9.9657
107	9.9559
108	10.0611
109	10.128
110	10.0591
111	10.1309
112	10.1899
113	10.1768
114	10.1525
115	10.0474
116	10.1229
117	10.0762
118	10.0082
119	10.0283
120	10.1677
121	10.0327
122	10.1333
123	10.1866
124	10.0308
125	10.0056
126	9.9911
127	9.8841
128	9.8219
129	9.8029
130	9.8633
131	9.8977
132	9.9132
133	10.0381
134	9.9764
135	9.9913
136	9.994
137	10.0646
138	9.9907
139	9.9541
140	9.9497
141	10.113
142	10.0238
143	10.1802
144	10.0618
145	10.0792
146	9.9524
147	10.053
148	10.2215
149	10.2949
150	10.2636
151	10.1159
152	10.1433
153	10.0518
154	10.155
155	10.0041
156	9.9456
157	9.9296
158	9.9458
159	10.035
160	9.97
161	10.022
162	10.0536
163	10.1176
164	10.0679
165	10.028
166	9.9827
167	9.997
168	9.8887
169	10.1505
170	10.0993
171	10.1022
172	9.9811
173	10.0199
174	9.9488
175	9.8122
176	9.8563
177	9.8972
178	9.9035
179	10.0785
180	10.0502
181	10.059
182	10.0539
183	10.0757
184	10.011
185	10.0457
186	9.9232
187	9.8917
188	9.9599
189	9.924
190	9.9598
191	9.8303
192	9.9244
193	9.932
194	9.9069
195	9.9469
196	9.8775
197	10.0047
198	9.8973
199	9.8288
200	9.7795
201	9.7749
202	9.6345
203	9.8609
204	9.9733
205	10.0055
206	10.1401
207	9.9628
208	10.0384
209	9.9795
210	10.0198
211	10.051
212	10.1395
213	10.0664
214	9.8804
215	10.0383
216	10.1527
217	10.1691
218	10.141
219	10.1614
220	10.0997
221	10.1296
222	10.0236
223	9.9787
224	9.968
225	9.7572
226	9.9774
227	10.041
228	10.0704
229	10.1091
230	10.0312
231	9.9461
232	10.0791
233	10.1357
234	10.245
235	10.2031
236	10.1414
237	10.0646
238	9.9453
239	9.9796
240	9.9302
241	9.9793
242	9.9292
243	10.0428
244	9.9806
245	10.0389
246	9.8831
247	10.0325
248	9.8594
249	10.09
250	10.0923
251	10.1346
252	9.9313
253	9.945
254	10.0484
255	10.1047
256	10.077
257	10.1709
258	10.127
259	10.0992
260	10.0978
261	10.0613
262	10.0312
263	10.094
264	9.961
265	10.0392
266	9.9842
267	9.9039
268	9.8859
269	9.9094
270	10.0064
271	9.9623
272	9.9039
273	9.9233
274	10.0056
275	10.0221
276	9.9938
277	9.9221
278	9.9479
279	10.0795
280	10.0493
281	10.1947
282	10.0286
283	10.0618
284	10.0965
285	10.0665
286	9.9295
287	9.9198
288	9.7991
289	9.8076
290	9.8088
291	9.9908
292	10.0449
293	10.1894
294	10.1745
295	9.9568
296	9.8714
297	9.9047
298	9.856
299	9.8542
300	9.7942
301	9.6808
302	9.7546
303	9.8228
304	10.0448
305	10.1439
306	10.1575
307	10.1446
308	10.0524
309	10.0064
310	10.1259
311	10.0762
312	10.0622
313	10.1163
314	10.2222
315	10.0466
316	9.8752
317	9.8599
318	9.9588
319	9.9087
320	9.9101
321	9.9616
322	9.9643
323	9.738
324	9.7943
325	9.8434
326	9.8858
327	10.0012
328	9.897
329	10.0821
330	10.0344
331	10.1161
332	10.1444
333	10.0707
334	9.9839
335	9.9846
336	9.9829
337	9.9926
338	9.8705
339	9.8031
340	9.8968
341	9.9635
342	9.8712
343	9.8424
344	9.8598
345	10.0362
346	10.1065
347	10.0626
348	9.9935
349	9.9832
350	10.0029
351	9.9629
352	10.1294
353	10.0449
354	10.0221
355	9.9234
356	9.8921
357	9.9517
358	10.0214
359	10.1105
360	10.1312
361	10.0469
362	10.1383
363	9.9409
364	9.9615
365	10.1635
366	10.164
367	10.1491
368	10.0889
369	10.2286
370	10.2107
371	10.0893
372	10.0499
373	9.9921
374	10.021
375	10.128
376	10.0068
377	10.0553
378	9.933
379	9.9582
380	10.0198
381	9.9648
382	9.9237
383	10.0008
384	9.8598
385	10.0099
386	10.085
387	10.1531
388	10.234
389	10.1221
390	10.0702
391	9.908
392	10.082
393	10.0225
394	9.9281
395	10.0976
396	10.095
397	10.0841
398	10.0003
399	9.8747
400	9.9788
401	10.0069
402	10.0497
403	10.0711
404	10.1391
405	10.1516
406	10.2373
407	10.037
408	9.9794
409	10.0204
410	10.0053
411	9.9291
412	9.9425
413	9.909
414	10.0123
415	10.0506
416	9.9504
417	10.0165
418	10.1315
419	10.0511
420	9.9392
421	9.9948
422	10.0331
423	9.8629
424	9.9115
425	9.8854
426	9.9972
427	10.0454
428	10.0924
429	10.154
430	10.1913
431	10.0762
432	10.0119
433	9.9256
434	10.0979
435	9.8375
436	9.9615
437	10.0297
438	10.0619
439	10.1801
440	10.0944
441	10.0317
442	9.9256
443	10.0917
444	10.0604
445	10.0443
446	9.885
447	9.948
448	9.9311
449	10.1023
450	9.9849
451	9.7931
452	9.8337
453	9.8864
454	9.8125
455	9.8223
456	9.9991
457	9.9867
458	9.9797
459	10.1083
460	10.1238
461	10.1212
462	9.9908
463	10.012
464	10.0411
465	10.0166
466	10.0113
467	9.9533
468	9.888
469	9.8462
470	9.9578
471	9.9486
472	9.9861
473	9.8826
474	9.8206
475	9.6896
476	9.8355
477	9.926
478	9.8328
479	9.9879
480	10.0711
481	10.047
482	10.1283
483	10.1074
484	10.0402
485	10.0304
486	10.2394
487	10.1759
488	10.1475
489	10.1865
490	10.1271
491	10.1173
492	10.087
493	10.0337
494	9.9486
495	9.8839
496	9.8561
497	9.9482
498	9.8567
499	9.9095
500	9.9018
501	9.8281
502	9.9965
503	10.0716
504	10.1461
505	10.1328
506	9.9067
